age,gender,country,work_remotely,company_size,family_history,benefits,care_options,wellness_program,anonymity,leave,coworkers,supervisor,mental_health_consequence,physical_health_consequence,mental_vs_physical,treatment
39,Male,United Kingdom,Sometimes,26-100,No,not eligible for coverage / n/a,Unknown,No,i don't know,Very easy,Maybe,Yes,No,No,I don't know,0
29,Male,United States of America,Never,25-Jun,Yes,No,Yes,Yes,Yes,Somewhat easy,Maybe,Yes,No,No,Yes,1
38,Male,United Kingdom,Always,25-Jun,No,No,Unknown,No,i don't know,Neither easy nor difficult,Maybe,Maybe,Maybe,No,I don't know,1
43,Male,United Kingdom,Sometimes,nan,No,Unknown,Unknown,Unknown,Unknown,nan,nan,nan,nan,nan,nan,1
43,Female,United States of America,Sometimes,25-Jun,Yes,Yes,Yes,No,No,Neither easy nor difficult,Maybe,No,Yes,Maybe,No,1
42,Male,United Kingdom,Sometimes,More than 1000,No,Yes,i am not sure,No,Yes,Somewhat easy,Maybe,Yes,Yes,Yes,No,1
30,Male,United States of America,Sometimes,26-100,No,i don't know,No,No,i don't know,Somewhat easy,Maybe,Yes,No,No,Yes,0
37,Female,United States of America,Always,More than 1000,Yes,Yes,Yes,No,Yes,Very easy,Maybe,Yes,No,No,I don't know,1
44,Female,United States of America,Sometimes,26-100,Yes,i don't know,No,No,i don't know,Very difficult,Yes,Maybe,Yes,Yes,No,1
30,Male,United States of America,Always,nan,Yes,Unknown,Unknown,Unknown,Unknown,nan,nan,nan,nan,nan,nan,1
28,Male,United States of America,Never,26-100,i don't know,Yes,i am not sure,Yes,Yes,Very easy,Maybe,Yes,No,No,Yes,1
34,Male,United States of America,Sometimes,100-500,Yes,Yes,Yes,No,i don't know,Somewhat difficult,No,No,Yes,No,No,1
30,Female,United States of America,Always,100-500,Yes,Yes,i am not sure,No,Yes,Very easy,Yes,Yes,No,No,Yes,1
44,Male,Canada,Sometimes,100-500,No,Yes,Yes,Yes,Yes,Somewhat easy,No,Maybe,No,No,Yes,0
35,Male,United States of America,Always,100-500,Yes,Yes,Yes,No,Yes,Very easy,Yes,Yes,No,No,No,1
52,Male,United States of America,Sometimes,100-500,Yes,i don't know,No,No,i don't know,Neither easy nor difficult,Maybe,Maybe,Maybe,Maybe,I don't know,1
32,Female,Canada,Always,26-100,Yes,not eligible for coverage / n/a,No,No,i don't know,Very difficult,Maybe,Maybe,Maybe,No,No,1
34,Male,United Kingdom,Never,500-1000,No,No,No,No,i don't know,I don't know,Yes,Maybe,Maybe,No,No,0
25,Female,United States of America,Always,nan,i don't know,Unknown,Unknown,Unknown,Unknown,nan,nan,nan,nan,nan,nan,1
31,Male,United States of America,Sometimes,100-500,Yes,i don't know,No,No,i don't know,I don't know,No,No,Yes,No,Yes,1
26,Male,United States of America,Sometimes,25-Jun,Yes,No,Unknown,No,i don't know,Very easy,Maybe,Yes,No,No,I don't know,0
35,Male,United States of America,Never,More than 1000,No,Yes,No,Yes,i don't know,Somewhat easy,Maybe,Yes,No,No,I don't know,0
25,Male,Germany,Sometimes,26-100,i don't know,Yes,Yes,No,i don't know,Very easy,Maybe,No,Maybe,Maybe,I don't know,0
33,Male,Canada,Sometimes,5-Jan,Yes,Yes,Yes,No,i don't know,Somewhat difficult,Maybe,Maybe,Maybe,No,I don't know,1
38,Male,United States of America,Sometimes,nan,No,Unknown,Unknown,Unknown,Unknown,nan,nan,nan,nan,nan,nan,0
42,Male,Germany,Never,100-500,No,Yes,Yes,i don't know,Yes,Very easy,Maybe,Maybe,No,No,Yes,0
27,Male,Netherlands,Sometimes,26-100,i don't know,No,No,No,i don't know,Very difficult,No,No,Yes,Yes,No,1
35,Male,Germany,Never,100-500,No,i don't know,No,No,i don't know,Somewhat difficult,No,No,No,No,I don't know,1
34,Female,United Kingdom,Never,500-1000,Yes,i don't know,No,Yes,i don't know,Neither easy nor difficult,Maybe,Maybe,Maybe,No,I don't know,1
32,Other,United Kingdom,Never,25-Jun,Yes,not eligible for coverage / n/a,Unknown,No,Yes,Somewhat easy,Yes,Yes,No,No,Yes,1
32,Other,Germany,Never,100-500,Yes,not eligible for coverage / n/a,Yes,No,i don't know,Somewhat easy,Maybe,Maybe,Maybe,No,No,1
30,Male,United States of America,Sometimes,100-500,No,Yes,Yes,No,Yes,Very easy,Yes,Yes,No,No,Yes,1
31,Male,United States of America,Never,More than 1000,i don't know,i don't know,i am not sure,No,i don't know,Very easy,No,Maybe,Maybe,No,No,0
37,Male,Czech Republic,Sometimes,nan,No,Unknown,Unknown,Unknown,Unknown,nan,nan,nan,nan,nan,nan,0
36,Male,United Kingdom,Sometimes,26-100,No,Yes,i am not sure,No,Yes,Very easy,Maybe,Yes,No,No,Yes,0
33,Male,Germany,Never,100-500,No,No,No,No,i don't know,Somewhat easy,No,No,Maybe,No,I don't know,0
44,Male,United States of America,Always,26-100,Yes,Yes,i am not sure,No,Yes,Very easy,Yes,Maybe,No,No,Yes,1
29,Male,United Kingdom,Never,100-500,No,No,Yes,No,i don't know,Somewhat easy,Yes,Yes,No,No,Yes,0
29,Male,United Kingdom,Sometimes,100-500,Yes,No,i am not sure,Yes,i don't know,Somewhat easy,Maybe,Yes,No,No,I don't know,1
44,Male,Canada,Always,More than 1000,i don't know,Yes,Yes,i don't know,i don't know,Neither easy nor difficult,Yes,Yes,Maybe,No,I don't know,0
34,Male,United States of America,Sometimes,nan,Yes,Unknown,Unknown,Unknown,Unknown,nan,nan,nan,nan,nan,nan,0
40,Male,United States of America,Always,100-500,i don't know,Yes,i am not sure,No,Yes,Somewhat easy,Maybe,Yes,No,No,No,1
46,Female,Netherlands,Never,More than 1000,Yes,Yes,i am not sure,No,Yes,Somewhat difficult,Yes,Yes,Yes,Maybe,No,1
28,Male,Lithuania,Sometimes,nan,Yes,Unknown,Unknown,Unknown,Unknown,nan,nan,nan,nan,nan,nan,1
41,Male,United States of America,Never,More than 1000,No,No,i am not sure,No,No,Somewhat difficult,No,No,Maybe,No,No,0
33,Male,United States of America,Sometimes,25-Jun,Yes,Yes,Yes,i don't know,i don't know,Somewhat easy,Maybe,Maybe,Maybe,Maybe,No,1
32,Male,United States of America,Sometimes,nan,Yes,Unknown,Unknown,Unknown,Unknown,nan,nan,nan,nan,nan,nan,1
45,Male,United States of America,Sometimes,25-Jun,i don't know,i don't know,No,No,i don't know,I don't know,No,Maybe,Maybe,No,I don't know,0
